,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
70,CCERI30,Natural Gas,CCGT,PP,BO,132.2,0.45,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.1953237,-64.5154512,ERD-230_CCERI30,Entre Rios ERD-230 CCERI30,39
71,CCERI40,Natural Gas,CCGT,PP,BO,132.33,0.45,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.1955927,-64.5155642,ERD-230_CCERI40,Entre Rios ERD-230 CCERI40,39
72,CCERI50,Natural Gas,CCGT,PP,BO,132.24,0.45,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.1960767,-64.5157892,ERD-230_CCERI50,Entre Rios ERD-230 CCERI50,39
73,MOA02**,Oil,Steam Turbine,PP,BO,1.24,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-14.8299401,-64.937811,TRI-115_MOA02,Moxos TRI-115 MOA02,106
74,MOA05**,Oil,Steam Turbine,PP,BO,1.07,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-14.8299402,-64.937812,TRI-115_MOA05,Moxos TRI-115 MOA05,106
75,MOA06**,Oil,Steam Turbine,PP,BO,1.09,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-14.8299403,-64.937813,TRI-115_MOA06,Moxos TRI-115 MOA06,106
76,MOA07**,Oil,Steam Turbine,PP,BO,1.07,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-14.8299404,-64.937814,TRI-115_MOA07,Moxos TRI-115 MOA07,106
77,MOA08**,Oil,Steam Turbine,PP,BO,1.07,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-14.8299404,-64.937814,TRI-115_MOA08,Moxos TRI-115 MOA08,106
78,RRE01**,Oil,Steam Turbine,PP,BO,1.17,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-14.4224258,-67.5466829,SBU-115_RRE01,Rurrenabaque SBU-115 RRE01,60
79,RRE02**,Oil,Steam Turbine,PP,BO,0.59,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-14.4224259,-67.546683,SBU-115_RRE02,Rurrenabaque SBU-115 RRE02,60
80,SBO01**,Oil,Steam Turbine,PP,BO,1.17,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-14.85885,-66.7599896,SBO-115_SBO01,San Borja SBO-115 SBO01,56
81,SBO02**,Oil,Steam Turbine,PP,BO,0.59,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-14.85886,-66.7599897,SBO-115_SBO02,San Borja SBO-115 SBO02,56
82,YUC01**,Oil,Steam Turbine,PP,BO,0.35,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-15.1405477,-67.0272019,YUC-115_YUC01,Yucumo YUC-115 YUC01,58
83,SAY01**,Oil,Steam Turbine,PP,BO,0.99,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-13.7371187,-65.4168628,MOX-115_SAY01,Santa Ana Yacuma MOX-115 SAY01,106
84,SAY02**,Oil,Steam Turbine,PP,BO,0.61,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-13.7371188,-65.4168629,MOX-115_SAY02,Santa Ana Yacuma MOX-115 SAY02,106
85,SIM01**,Oil,Steam Turbine,PP,BO,0.35,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-15.0004093,-65.6303847,MOX-115_SIM01,San Ignacio de Moxos MOX-115 SIM01,57
86,SIM02**,Oil,Steam Turbine,PP,BO,0.38,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-15.0004094,-65.6303848,MOX-115_SIM02,San Ignacio de Moxos MOX-115 SIM02,57
87,SUR11,Natural Gas,Steam Turbine,PP,BO,41.48,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-21.6940898,-63.5630832,YAG-230_SUR11,Termo del Sur YAG-230 SUR11,47
88,SUR12,Natural Gas,Steam Turbine,PP,BO,40.99,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-21.6941488,-63.5628052,YAG-230_SUR12,Termo del Sur YAG-230 SUR12,47
89,SUR21,Natural Gas,Steam Turbine,PP,BO,41.8,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-21.6942258,-63.5624112,YAG-230_SUR21,Termo del Sur YAG-230 SUR21,47
90,SUR22,Natural Gas,Steam Turbine,PP,BO,41.7,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-21.6942608,-63.5621212,YAG-230_SUR22,Termo del Sur YAG-230 SUR22,47
91,CCSUR30,Natural Gas,CCGT,PP,BO,122.98,0.45,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-21.6944898,-63.5606492,YAG-230_CCSUR30,Termo del Sur YAG-230 CCSUR30,47
92,CCSUR40,Natural Gas,CCGT,PP,BO,125.32,0.45,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-21.6946268,-63.5598932,YAG-230_CCSUR40,Termo del Sur YAG-230 CCSUR40,47
93,WAR21*,Natural Gas,Steam Turbine,PP,BO,43.02,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.5345417,-63.1462922,WAR-230_WAR21,Warnes WAR-230 WAR21,80
94,WAR22*,Natural Gas,Steam Turbine,PP,BO,43.23,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.5344317,-63.1460322,WAR-230_WAR22,Warnes WAR-230 WAR22,80
95,WAR51,Natural Gas,Steam Turbine,PP,BO,42.69,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.5353457,-63.1480462,WAR-230_WAR51,Warnes WAR-230 WAR51,80
96,CCWAR10*,Natural Gas,CCGT,PP,BO,123.6,0.45,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.5347157,-63.1467692,WAR-230_CCWAR10,Warnes WAR-230 CCWAR10,80
97,CCWAR30*,Natural Gas,CCGT,PP,BO,130.35,0.45,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.5360158,-63.1524497,WAR-230_CCWAR30,Warnes WAR-230 CCWAR30,80
98,CCWAR40*,Natural Gas,CCGT,PP,BO,130.03,0.45,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.5356627,-63.1483892,WAR-230_CCWAR40,Warnes WAR-230 CCWAR40,80
99,GBE01*,Bioenergy,Steam Turbine,PP,BO,20.64,0.31,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.3158488,-63.2662787,GBE-013_GBE01,Guabira GBE-013 GBE01,80
100,IAG01*,Bioenergy,Steam Turbine,PP,BO,5.0,0.31,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.3159808,-63.2660377,GBE-013_IAG01,IAGSA GBE-013 IAG01,80
101,QOL,Wind,Onshore,PP,BO,2.95,1.0,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.6287401,-65.2916976,QOL-115_QOL,Qollpana 1 QOL-115 QOL,36
102,QOL2,Wind,Onshore,PP,BO,23.59,1.0,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.6318502,-65.2760551,QOL-115_QOL2,Qollpana 2 QOL-115 QOL2,36
103,ORU,Solar,Pv,PP,BO,49.31,1.0,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.7753238,-67.4350937,ORU-115_ORU,Oruro 1 ORU-115 ORU,92
104,UYU,Solar,Pv,PP,BO,59.7,1.0,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-20.5733559,-66.7699542,SUY-230_UYU,Uyuni SUY-230 UYU,43
