p_nom_max,weight,p_nom,capital_cost,efficiency,p_nom_min,marginal_cost,p_nom_extendable,p_nom_opt,sign,build_year,min_up_time,min_down_time,up_time_before,down_time_before,p_min_pu,p_max_pu,p_set,q_set,lifetime,committable,start_up_cost,shut_down_cost,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down
,0.0,1029.05,168938.24561777787,1.0,1029.05,94.4200226795646,2,1029.050001595419,2.0,0,0,0,2,0,0.0,2.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,2.0,2.0
,0.0,1239.83,188938.2456177779,1.56,1239.83,233.57914187126812,4,1239.830006993402,4.0,0,0,0,4,0,0.0,4.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,4.0,4.0
,0.0,77.23,556030.7190120892,0.936,77.23,29.935096473922002,0,77.23,2.0,0,0,0,2,0,0.0,2.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,2.0,2.0
,0.0,4000000000.0,0.0,4.0,0.0,4.037090729688497,0,4000000000.0,0.004,0,0,0,4,0,0.0,4.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,4.0,4.0
inf,0.0,11.74,38234.561404444474,0.3929999999999999,11.74,130.23663748150744,0,11.74,1.0,0,0,0,1,0,0.0,1.0,0.0,0.0,inf,0,0.0,0.0,0.0,0.0,1.0,1.0
2375560.3552225567,160326.3229383228,25.91087913138977,437182.27700622246,4.0,25.91087913138977,0.10115664966465583,4,25.91088367466329,4.0,0,0,0,4,0,0.0,4.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,4.0,4.0
1869523.9220214288,330755.40910909325,119.37469991606052,203423.83306791366,4.0,119.37469991606052,0.07961145228969493,4,1718.2672141693934,4.0,0,0,0,4,0,0.0,4.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,4.0,4.0
